Company,Rating,Industry,Employees,Location,Ownership,age,Reviews,Salaries,Jobs,Interviews,Benefits
Whirlpool,4.1,Consumer Electronics & Appliances ,"('1k-5k Employees', '')",Michigan,Public, 113 years old,1.7k,7.8k,--,83,214
Sobha,3.9,Real Estate ,"('1k-5k Employees', '')",Bangalore/Bengaluru,Public, 29 years old,1.7k,7.9k,30,109,221
Raymond Lifestyle Limited,4.1,Fashion & Textile ,"('5k-10k Employees', '')",,Public, 99 years old,1.7k,6.9k,5,85,245
Bharat Petroleum,4.2,Oil & Gas ,"('5k-10k Employees', '')",Mumbai,Fortune India 500, 72 years old,1.7k,6.5k,1,144,197
BHEL,4.2,Electrical Equipment ,"('10k-50k Employees', '')",Bangalore/Bengaluru,Fortune India 500, 60 years old,1.7k,5k,--,102,227
Ambuja Cements,3.9,Building Material ,"('5k-10k Employees', '')",Mumbai,Public, 41 years old,1.7k,6k,--,100,217
Star Health & Allied Insurance,3.8,Insurance ,"('10k-50k Employees', '')",Chennai,Fortune India 500, 18 years old,1.6k,7.7k,16,92,173
Endurance Technologies,3.9,Auto Components ,"('1k-5k Employees', '')",Aurangabad,Public, 39 years old,1.6k,7.3k,5,88,248
Kalyan Jewellers,4.7,Jewellery ,"('5k-10k Employees', '')",,Fortune India 500, 31 years old,1.6k,1.3k,27,48,62
Lodha Group,4.1,Real Estate ,"('5k-10k Employees', '')",Mumbai,Fortune India 500, 44 years old,1.6k,7.9k,65,112,204
Force Motors,3.6,Automobile ,"('1k-5k Employees', '')",Pune,Public, 66 years old,1.6k,7.8k,1,111,176
Varroc Group,3.8,Auto Components ,"('1k-5k Employees', '')",Aurangabad,Public, 36 years old,1.6k,6.4k,227,123,157
Bank of Baroda,3.6,Banking ,"('50k-1 Lakh Employees', '')",Vadodara/Baroda,Fortune India 500, 116 years old,1.6k,6.3k,--,95,158
Brakes India,4.0,Auto Components ,"('10k-50k Employees', '')",Chennai,Fortune India 500, 62 years old,1.6k,6.7k,9,66,210
Laurus Labs,4.2,Pharma ,"('5k-10k Employees', '')",Hyderabad/Secunderabad,Public, 19 years old,1.6k,6.7k,2,99,229
Coromandel International,4.1,Agro Chemicals ,"('5k-10k Employees', '')",Hyderabad/Secunderabad,Public, 63 years old,1.6k,6.9k,2,89,232
Adani Wilmar,4.2,FMCG ,"('1k-5k Employees', '')",Ahmedabad,Public, 25 years old,1.5k,6.2k,2,95,180
JK Tyres,3.7,Auto Components ,"('1k-5k Employees', '')",,Fortune India 500, 73 years old,1.5k,6.5k,1,86,198
Citibank,4.0,Banking ,"('10k-50k Employees', '')",,Fortune India 500, 212 years old,1.5k,15.9k,--,178,216
IDBI Bank,3.6,Banking ,"('10k-50k Employees', '')",,Public, 60 years old,1.5k,5.9k,--,62,142
Hindustan Aeronautics,4.4,Defence & Aerospace ,"('10k-50k Employees', '')",,Fortune India 500, 84 years old,1.5k,4.1k,--,68,180
Tata Teleservices,4.0,Telecom ,"('201-500 Employees', '')",,Public, 28 years old,1.5k,4.2k,--,30,264
Aditya Birla Capital,4.0,Financial Services ,"('10k-50k Employees', '')",,Public, 7 years old,1.5k,8k,4,137,165
Spark Minda,3.9,Auto Components ,"('1k-5k Employees', '')",,Public, 66 years old,1.5k,6k,5,105,45
Uflex,3.8,Packaging ,"('5k-10k Employees', '')",,Public, 39 years old,1.5k,6.5k,21,97,128
TVS Sundram Fasteners,3.8,Auto Components ,"('1k-5k Employees', '')",,Public, 62 years old,1.4k,6.6k,--,58,216
Narayana Health,4.2,Healthcare ,"('10k-50k Employees', '')",,Fortune India 500, 24 years old,1.4k,5.5k,36,53,148
Honeywell Automation,3.8,Consumer Electronics & Appliances ,"('10k-50k Employees', '')",,Public, 118 years old,1.4k,11k,--,96,177
G R Infraprojects,4.2,Engineering & Construction ,"('10k-50k Employees', '')",,Public, 29 years old,1.4k,5.1k,34,123,170
Honda Cars,4.4,Automobile ,"('5k-10k Employees', '')",,Fortune India 500, 29 years old,1.4k,6.3k,--,84,202
Nuvoco Vistas,4.2,Building Material ,"('1k-5k Employees', '')",,Fortune India 500, 10 years old,1.4k,6k,6,87,137
Torrent Power,3.8,Power ,"('5k-10k Employees', '')",Ahmedabad,Public, 28 years old,1.4k,6.9k,27,114,167
Daikin,4.2,Consumer Electronics & Appliances ,"('1k-5k Employees', '')",,Fortune India 500, 24 years old,1.4k,6.3k,1,127,151
Tata Power,4.0,Power ,"('10k-50k Employees', '')",,Public, 109 years old,1.3k,7.1k,6,151,150
PI Industries,4.1,Agro Chemicals ,"('1k-5k Employees', '')",,Public, 77 years old,1.3k,6.4k,12,95,180
USV,4.0,Pharma ,"('1k-5k Employees', '')",,Fortune India 500, 63 years old,1.3k,5.2k,12,70,184
NTPC,4.2,10k,"('10k-50k Employees', '')",Delhi/NCR,Fortune India 500, 49 years old,1.3k,3.8k,--,151,188
Wockhardt,3.9,Pharma ,"('5k-10k Employees', '')",Mumbai,Public, 25 years old,1.3k,4.4k,2,48,185
Procter & Gamble,4.2,FMCG ,"('1k-5k Employees', '')",Cincinnati,Public, 187 years old,1.3k,5.7k,15,106,177
Jindal Saw,4.0,Building Material ,"('5k-10k Employees', '')",Delhi/NCR,Public, 40 years old,1.3k,5.8k,2,94,199
Yamaha Motor,4.1,Automobile ,"('1k-5k Employees', '')",Iwata,Fortune India 500, 69 years old,1.3k,5.5k,14,57,191
DIVI'S Laboratories,3.8,Healthcare ,"('10k-50k Employees', '')",Hyderabad/Secunderabad,Public, 34 years old,1.3k,6.2k,--,68,182
Arvind Group,4.1,Fashion & Textile ,"('10k-50k Employees', '')",Ahmedabad,Public, 93 years old,1.3k,5.3k,40,58,301
V-Guard Industries,4.3,Consumer Electronics & Appliances ,"('1k-5k Employees', '')",Kochi/Cochin,Public, 47 years old,1.3k,3.8k,10,50,273
