Company,Rating,Industry,Employees,Location,Ownership,age,Reviews,Salaries,Jobs,Interviews,Benefits
NMDC Limited,4.3,Metals & Mining ,5000-10000,Hyderabad,Fortune India 500,66,172,829,0,33,16
Filatex India,3.9,Fashion & Textile ,1000-5000,Noida,Public,34,171,1100,0,14,18
Gallantt Ispat,4.1,Iron & Steel ,1000-5000,Gorakhpur,Public,19,168,603,0,11,7
Indo Count Industries,4.1,Fashion & Textile ,1000-5000,Mumbai,Public,36,168,1100,1,7,17
Karnataka Bank,3.8,Banking ,5000-10000,Mangalore,Public,100,167,100,0,33,14
Indo Rama Synthetics (i),3.6,Fashion & Textile ,51-200,Gurugram,Public,38,167,836,0,11,15
Jaiprakash Power Ventures,3.8,Power ,5000-10000,Noida,Public,30,166,903,0,20,8
Gujarat Narmada Valley Fertilizers & Chemicals,4.3,Agro Chemicals ,1000-5000,Bharuch,Fortune India 500,48,163,815,0,8,19
MMTC-PAMP,3.5,Metals & Mining ,1000-5000,New Delhi,Fortune India 500,16,163,813,2,8,27
Black Box Corporation,3.1,IT Services & Consulting ,1000-5000,Lawrence,Fortune India 500,48,160,1300,12,18,12
Godawari Power & Ispat,4.3,Iron & Steel ,1000-5000,Raipur,Public,25,155,728,1,7,18
Barclays Global Service Centre,3.8,IT Services & Consulting ,201-500,Pune,Fortune India 500,17,154,700,0,80,147
Sutlej Textiles and Industries,4.0,Fashion & Textile ,10000-50000,Mumbai,Public,19,151,866,0,5,14
Prakash Industries,3.6,Metals & Mining ,501-1000,Raipur,Public,44,150,946,0,4,10
KPR Mill,4.1,Fashion & Textile ,501-1000,Coimbatore,Public,40,149,889,0,7,14
KNR Constructions,4.2,Engineering & Construction ,1000-5000,Hyderabad,Public,29,148,782,0,5,20
Aia Engineering,4.2,Industrial Machinery ,1000-5000,Ahmedabad,Public,45,148,935,0,12,23
NHPC,4.4,Power ,5000-10000,Faridabad,Fortune India 500,49,143,504,0,9,27
Adani Transmission,3.8,Real Estate ,501-1000,Ahmedabad,Public,11,138,839,0,9,16
